Osi/Daco,250,83.33,27.78,9.259,3.086,1.029,0.343,0.114,0.038,0.013,0.004,0
0,3852,3998,4277,4148,3990,4329,5948,6704,7729,7162,7297,7197
0,4253,3992,4212,4137,4590,4471,6289,6993,7315,7214,7404,7040
2.5,4338,4185,4038,4449,4127,4393,5085,5728,6256,6508,5820,6241
2.5,4263,4204,4240,4504,4633,4705,5470,6558,6390,6757,7094,6200
5,0,3889,3794,3929,4307,4704,4846,5222,5474,5274,4765,4455
5,0,3827,4443,4830,4307,4705,5073,5688,5697,5455,5505,5130
10,0,3928,4427,4582,4677,4491,5093,5044,4841,5265,4781,4687
10,0,3918,4386,4611,4548,4639,4625,5083,4923,5013,5117,4540
