Osi/Daco,250,83.33,27.78,9.259,3.086,1.029,0.343,0.114,0.038,0.013,0.004,0
0,6535,7676,7222,7899,8163,14735,19223,18648,19322,18645,19451,19624
0,7120,7560,7977,8308,8623,14175,18595,19830,19913,19786,20229,19454
2.5,7077,7313,7591,8256,8384,11047,14875,15597,18040,17379,17253,16688
2.5,7677,7424,8011,8748,8308,11675,14914,17208,17101,17874,18874,18103
5,0,6137,7311,7441,8121,9795,11666,13641,14017,14436,13769,11666
5,0,6161,6785,7140,7565,8816,11460,12050,13643,13545,13290,11282
10,0,6541,6778,8651,9242,8394,9880,10216,10514,10803,10018,10154
10,0,7469,7306,7953,7982,8825,9208,10401,10317,10198,10433,10266
