,250,83.33,27.78,9.259,3.086,1.029,0.343,0.114,0.038,0.013,0.004,0
0,2245,2855,2794,2983,2384,2436,2978,5203,5976,6038,7106,6144
0,2691,2957,3232,3699,3066,2981,3532,5750,7449,7156,8454,6767
2.5,3039,3580,3538,3901,4486,3764,4681,5981,5975,6019,7393,4975
2.5,2762,3300,3689,4013,4127,4559,5524,5451,5867,6542,6173,4881
5,0,3690,3611,3548,3680,4064,4050,3904,4156,4509,4090,4397
5,0,4195,3798,3660,4402,4669,4594,5141,5087,5314,5531,5377
10,0,3826,3682,3073,3728,4305,4362,4372,3855,3795,4703,3378
10,0,3795,3733,3507,3206,3533,3674,4168,3617,4078,4170,2918
