,250,83.33,27.78,9.259,3.086,1.029,0.343,0.114,0.038,0.013,0.004,0
0,2655,2455,2292,2215,1731,2460,2439,2784,3304,3374,3358,4513
0,2833,2838,3354,2654,3086,2877,2318,3381,4508,3802,4803,3576
2.5,3522,3356,3045,2669,2802,2544,3347,3680,4064,3409,3898,3833
2.5,2910,2337,2360,2445,2893,2665,2561,2948,3007,3017,2948,3123
5,0,3379,3640,3938,3941,4097,4115,3998,4521,4066,4480,3831
5,0,4028,3641,4076,4280,3902,3561,4139,3760,3106,3859,3055
10,0,4053,2337,3863,4130,4435,1887,3968,2583,2048,3080,2720
10,0,2414,2059,2275,3327,1981,2908,1817,2876,1894,1980,1816
