,1000,333.3,111.1,37.04,12.35,4.115,1.372,0.457,0.152,0.051,0.017,0
0,7174,11516,12162,13454,11244,11284,11547,11794,11712,11541,11329,14876
0,7693,10942,12035,14535,13086,13914,13375,13836,11376,13698,12277,12639
4,5817,8909,10432,11035,12419,10669,10490,10725,11439,10039,9723,7590
4,6840,9435,11786,13771,10964,11383,13089,11962,11213,12472,9739,7607
10,0,6378,6767,8015,8025,8324,8030,8860,6878,9368,6523,5711
10,0,6393,7415,6467,7681,8085,8921,8605,10033,8453,7856,6248
250,0,4202,3873,3743,3771,3581,3461,3433,3501,3293,3131,2084
250,0,3812,3662,3873,4058,3267,3150,3435,3328,3261,3521,2474
