,1000,333.3,111.1,37.04,12.35,4.115,1.372,0.457,0.152,0.051,0.017,0
0,4923,6188,6431,6557,6271,7150,5775,5394,6161,6148,5868,5376
0,5800,5711,7107,7923,7607,8257,6841,6160,8410,6727,6443,6732
4,5415,6457,8411,8753,7383,7208,7202,7830,6936,6623,6037,6052
4,5726,6785,6997,8009,7547,7363,7607,7114,7587,7668,6689,5735
10,0,5078,6371,6334,6421,6555,6211,6757,6606,6615,5415,4323
10,0,4891,5919,6614,6305,6819,7260,6885,6203,5535,5421,4794
250,0,4985,5887,3572,6870,3669,5909,5974,3609,5511,4486,3962
250,0,4537,5309,5031,5027,5574,4424,5115,4823,4756,5068,3422
