,1000,333.3,111.1,37.04,12.35,4.115,1.372,0.457,0.152,0.051,0.017,0
0,6011,8144,8622,8739,8268,8178,8506,8540,8569,8939,9167,7767
0,6320,8318,8361,9511,9366,10179,9882,10235,9186,9527,10696,8369
4,5505,9577,8965,9027,9479,9275,9167,8542,8875,10870,8830,7483
4,5464,7202,9476,10127,9423,9499,9218,9322,8862,8212,9076,6954
10,0,6291,7733,10487,8848,9004,9095,8318,7885,7128,6807,6467
10,0,5039,5447,8096,5840,5256,5987,5284,7983,7190,7107,5711
250,0,4600,5012,4502,4952,6015,5116,4733,4514,4090,4363,3238
250,0,5387,5139,4367,5002,4919,4550,5239,4701,4164,4186,3535
