#,250,83.33,27.78,9.259,3.086,1.029,0.343,0.114,0.038,0.013,0.004,0
0,6050.466,6663.254,6720.102,6774.024,7370.928,17040.522,19594.92,38190.904,40485.306,41843.388,40882.824,37394.196
2.5,5724.008,6758.14,6759.812,6408.692,6820.004,12009.056,13484.596,24470.054,27217.568,29308.822,29302.97,38721.764
5,5680.536,6124.034,6878.942,6691.678,7171.542,10036.096,10077.896,15486.398,17705.56,19302.32,18315.422,38531.156
10,4848.716,5782.11,5970.628,6507.758,6442.132,8009.214,7810.664,9202.604,9688.32,10479.176,9853.848,37310.596

