Osi/Daco,250,83.33,27.78,9.259,3.086,1.029,0.343,0.114,0.038,0.013,0.004,DMSO
0,4409,4515,4389,4361,4305,4311,4286,4208,4082,4079,3950,4142
0,4580,4693,4532,4590,4368,4364,4223,4022,4017,3944,3956,3794
6,4605,4319,4534,4560,4378,4379,4376,4172,4216,4093,3992,4037
6,4553,4583,4657,4514,4502,4430,4370,4372,4245,4194,4156,4064
160,0,3198,3184,3167,3021,3131,3017,3006,2934,2875,3072,2727
160,0,3204,3279,3353,3322,3208,3139,3210,3097,3106,2926,2823
1000,0,2768,2914,2815,2916,2875,2849,2766,2690,2667,2371,2635
1000,0,2772,2811,2888,2765,2794,2803,2813,2809,2689,2535,2544
