Osi/Daco,250,83.33,27.78,9.259,3.086,1.029,0.343,0.114,0.038,0.013,0.004,DMSO
0,8580,8890,8691,8568,8435,8846,8331,8379,8565,8308,8594,8440
0,8431,8795,9048,8754,8379,8639,8565,8337,8251,8280,8764,8275
6,8135,8915,9067,9058,9045,9332,8841,9228,9012,9083,9197,8627
6,8099,9130,9028,9127,8670,9303,9226,8958,9070,8840,8738,8945
160,0,2059,2024,1990,1856,1888,1939,1901,1911,1893,1863,1888
160,0,2058,2058,2054,1898,1931,1954,1967,1906,1864,1873,1990
1000,0,1448,1531,1545,1514,1514,1554,1530,1533,1571,1487,1389
1000,0,1464,1526,1497,1453,1522,1538,1532,1502,1438,1425,1339
