Osi/Daco,250,83.33,27.78,9.259,3.086,1.029,0.343,0.114,0.038,0.013,0.004,0
0,5289,5187,5045,5112,4980,5053,5222,4976,5123,5079,5313,5164
0,5186,4925,5100,5090,5046,5134,5037,5111,4836,4974,5262,5106
6,4930,5059,5020,5315,5013,5071,5091,4915,4968,5343,5181,5325
6,4948,5070,5266,5325,5081,5220,5423,5185,4866,5206,5070,5213
160,0,2484,2515,2485,2474,2481,2471,2384,2412,2452,2556,2510
160,0,2442,2392,2442,2403,2375,2529,2642,2396,2351,2472,2596
1000,0,1976,2028,2048,1994,2056,2100,2002,2009,2000,2049,2021
1000,0,2085,2140,2100,2119,2187,2213,2101,2145,2069,2099,2030
