,1000,333.3,111.1,37.04,12.35,4.115,1.372,0.457,0.152,0.051,0.017,0
0,2832,3954,2304,3272,2763,2704,3847,3821,4264,4526,4424,4814
0,2621,3607,3905,3199,3040,3456,4491,5456,4692,5988,4923,3897
0.25,2930,3901,4224,4705,4513,3916,4091,4220,4160,4174,4068,3086
0.25,2490,3984,4524,4727,4933,4352,5033,4990,4316,4561,4949,3888
0.5,0,3235,3008,3456,4314,2593,2744,3890,3949,3562,3775,3131
0.5,0,2833,3252,3348,3181,4727,3616,4075,3443,3203,3286,3135
1,0,2920,3861,2555,3383,3356,3788,3271,3066,3332,2962,3306
1,0,3769,2838,1602,1872,2693,1334,3373,1558,1464,2140,2603
