,1000,333.3,111.1,37.04,12.35,4.115,1.372,0.457,0.152,0.051,0.017,0
0,1202,2334,3143,2378,2876,5473,6717,7443,9141,10992,14455,11195
0,1864,2369,2721,2270,2988,6852,10171,13686,13820,14273,13310,11145
0.25,1456,2484,2575,2557,3449,4606,5088,5414,6667,6439,5799,5376
0.25,1735,2363,2874,3247,3480,5157,5433,6765,5772,6466,5351,4393
0.5,0,2516,2893,2782,3448,3635,3952,4061,3132,4498,4064,3474
0.5,0,2160,2452,2931,3307,3555,4013,4089,3588,3614,3963,2975
1,0,2314,2299,2616,2608,2857,2828,2886,2779,2657,2655,2769
1,0,2153,2003,2543,2336,2223,2209,2494,2000,2540,2609,2677
