condition,day,medianCount,sdCount,medianPred,q25,q75
4.40 nM Daco+10.38 nM Osim,67,NA,NA,408017378,296455312,487273309
4.40 nM Daco+10.38 nM Osim,68,NA,NA,525687141,381970291,627844034
4.40 nM Daco+10.38 nM Osim,69,NA,NA,677303444,492153822,808924604
4.40 nM Daco+10.38 nM Osim,70,NA,NA,872629117,634108298,1042154182
4.40 nM Daco+10.38 nM Osim,71,NA,NA,1124299858.5,817012085,1342672514
4.40 nM Daco+10.38 nM Osim,72,NA,NA,1448538302.5,1052659024,1729884773
4.40 nM Daco+10.38 nM Osim,73,NA,NA,1866293693,1356248121,2228757669
4.40 nM Daco+10.38 nM Osim,74,NA,NA,2404490711.5,1747402831,2871594479
4.40 nM Daco+10.38 nM Osim,75,NA,NA,3097945718.5,2251279390,3699782706
4.40 nM Daco+10.38 nM Osim,76,NA,NA,3991360801,2900497389,4766899512
4.40 nM Daco+10.38 nM Osim,77,NA,NA,5142491486.5,3736945738,6141622746
4.40 nM Daco+10.38 nM Osim,78,NA,NA,6625485987.5,4814741083,7912800676
4.40 nM Daco+10.38 nM Osim,80,NA,NA,10997736435,7992290992,13134704089
4.40 nM Daco+10.38 nM Osim,81,NA,NA,14169586870,10297473085,16922883506
4.40 nM Daco+10.38 nM Osim,82,NA,NA,18256192792.5,13267286685,21803534254
4.40 nM Daco+10.38 nM Osim,83,NA,NA,23521113555,17093465978,28091863355
4.40 nM Daco+10.38 nM Osim,84,NA,NA,30304556410,22023408397,36193473842
4.40 nM Daco+10.38 nM Osim,85,NA,NA,39044380218,28374585621,46631757483
4.40 nM Daco+10.38 nM Osim,86,NA,NA,50304746071.5,36557511852,60080114298
4.40 nM Daco+10.38 nM Osim,87,NA,NA,64812429671.5,47100482934,77406757514
4.40 nM Daco+10.38 nM Osim,88,NA,NA,83504122762,60684453559,99730632381
4.40 nM Daco+10.38 nM Osim,90,NA,NA,138614520357,100733084532,165549495851
4.40 nM Daco+10.38 nM Osim,91,NA,NA,178590529390.5,129784556444,213292997499
4.40 nM Daco+10.38 nM Osim,92,NA,NA,230095282803.5,167214521002,274806529795
4.40 nM Daco+10.38 nM Osim,93,NA,NA,296453824455.5,215438230097,354059680962
4.40 nM Daco+10.38 nM Osim,94,NA,NA,381949329006,277569612251,456167853874
4.40 nM Daco+10.38 nM Osim,95,NA,NA,492100639827,357619894985,587725103363
4.40 nM Daco+10.38 nM Osim,96,NA,NA,634020918440.5,460755880933,757222611088
4.40 nM Daco+10.38 nM Osim,97,NA,NA,816870519342.5,593634681538,975602232913
4.40 nM Daco+10.38 nM Osim,98,NA,NA,1052451929721.5,764837658060,1256960784502
4.40 nM Daco+10.38 nM Osim,99,NA,NA,1355974902166.5,985414565748,1619465092058
4.40 nM Daco+10.38 nM Osim,100,NA,NA,1747030962477.5,1269604308846,2086516235346
4.40 nM Daco+10.38 nM Osim,101,NA,NA,2250866823778.5,1635752776397,2688260544215
2.94 nM Daco+20.75 nM Osim,1,NA,NA,910808.5,910531,911043
2.94 nM Daco+20.75 nM Osim,2,NA,NA,829592.5,829271,830012
2.94 nM Daco+20.75 nM Osim,3,NA,NA,755645.5,755227,756103
2.94 nM Daco+20.75 nM Osim,4,NA,NA,688125,687765,688577
2.94 nM Daco+20.75 nM Osim,5,NA,NA,626791.5,626330,627524
2.94 nM Daco+20.75 nM Osim,6,NA,NA,571076.5,570604,571678
2.94 nM Daco+20.75 nM Osim,7,NA,NA,520199,519797,520894
2.94 nM Daco+20.75 nM Osim,8,NA,NA,473803,473348,474376
2.94 nM Daco+20.75 nM Osim,9,NA,NA,431566.5,431167,432084
2.94 nM Daco+20.75 nM Osim,10,NA,NA,393142.5,392731,393696
2.94 nM Daco+20.75 nM Osim,11,NA,NA,358219,357725,358706
2.94 nM Daco+20.75 nM Osim,12,NA,NA,326487.5,325923,326990
2.94 nM Daco+20.75 nM Osim,13,NA,NA,297496.5,297061,297932
2.94 nM Daco+20.75 nM Osim,14,NA,NA,271179,270750,271756
2.94 nM Daco+20.75 nM Osim,15,NA,NA,247350.5,246851,247848
2.94 nM Daco+20.75 nM Osim,16,NA,NA,225751.5,225226,226136
2.94 nM Daco+20.75 nM Osim,17,NA,NA,206220,205396,206749
2.94 nM Daco+20.75 nM Osim,18,NA,NA,188302.5,187510,188986
2.94 nM Daco+20.75 nM Osim,19,NA,NA,172483.5,171721,173169
2.94 nM Daco+20.75 nM Osim,20,NA,NA,158208.5,157066,159016
2.94 nM Daco+20.75 nM Osim,21,NA,NA,145448.5,144042,146616
2.94 nM Daco+20.75 nM Osim,22,NA,NA,134287,132564,135802
2.94 nM Daco+20.75 nM Osim,23,NA,NA,124748,122607,126468
2.94 nM Daco+20.75 nM Osim,24,NA,NA,116693.5,113707,119041
2.94 nM Daco+20.75 nM Osim,25,NA,NA,110176,106750,113635
2.94 nM Daco+20.75 nM Osim,26,NA,NA,105411,101244,110041
2.94 nM Daco+20.75 nM Osim,27,NA,NA,102734,97250,108500
2.94 nM Daco+20.75 nM Osim,28,NA,NA,102332,95320,110098
2.94 nM Daco+20.75 nM Osim,29,NA,NA,104686,95159,114683
2.94 nM Daco+20.75 nM Osim,30,NA,NA,110289,97768,123780
2.94 nM Daco+20.75 nM Osim,31,NA,NA,120069.5,103867,136764
2.94 nM Daco+20.75 nM Osim,32,NA,NA,134549,113310,156050
2.94 nM Daco+20.75 nM Osim,33,NA,NA,155313,128129,183557
2.94 nM Daco+20.75 nM Osim,34,NA,NA,183396,148445,220499
2.94 nM Daco+20.75 nM Osim,35,NA,NA,221131.5,176106,270229
2.94 nM Daco+20.75 nM Osim,36,NA,NA,272480.5,214345,336127
2.94 nM Daco+20.75 nM Osim,37,NA,NA,340621,265453,422594
2.94 nM Daco+20.75 nM Osim,38,NA,NA,430286.5,332506,536284
2.94 nM Daco+20.75 nM Osim,39,NA,NA,547801,420613,685379
2.94 nM Daco+20.75 nM Osim,40,NA,NA,700860.5,534725,879387
2.94 nM Daco+20.75 nM Osim,41,NA,NA,900362,685487,1130310
2.94 nM Daco+20.75 nM Osim,42,NA,NA,1162084.5,882319,1459728
2.94 nM Daco+20.75 nM Osim,43,NA,NA,1501441.5,1137504,1886100
2.94 nM Daco+20.75 nM Osim,44,NA,NA,1942128,1469184,2441008
2.94 nM Daco+20.75 nM Osim,45,NA,NA,2515973.5,1900132,3167076
2.94 nM Daco+20.75 nM Osim,46,NA,NA,3259296.5,2463872,4105507
2.94 nM Daco+20.75 nM Osim,47,NA,NA,4225282,3197055,5326084
2.94 nM Daco+20.75 nM Osim,48,NA,NA,5480158.5,4143041,6906395
2.94 nM Daco+20.75 nM Osim,49,NA,NA,7114022.5,5375626,8964895
2.94 nM Daco+20.75 nM Osim,50,NA,NA,9234894,6972415,11637429
2.94 nM Daco+20.75 nM Osim,51,NA,NA,11988584,9049834,15105976
2.94 nM Daco+20.75 nM Osim,52,NA,NA,15566958,11757348,19612512
2.94 nM Daco+20.75 nM Osim,53,NA,NA,20215110.5,15268935,25476005
2.94 nM Daco+20.75 nM Osim,54,NA,NA,26245825.5,19825392,33085025
2.94 nM Daco+20.75 nM Osim,55,NA,NA,34077011.5,25737299,42959758
2.94 nM Daco+20.75 nM Osim,56,NA,NA,44240118,33425971,55788035
2.94 nM Daco+20.75 nM Osim,57,NA,NA,57443093,43396833,72451591
2.94 nM Daco+20.75 nM Osim,59,NA,NA,96858863.5,73171811,122143751
2.94 nM Daco+20.75 nM Osim,60,NA,NA,125786369,95028607,158623274
2.94 nM Daco+20.75 nM Osim,61,NA,NA,163324058,123385150,205989827
2.94 nM Daco+20.75 nM Osim,62,NA,NA,212083897.5,160239364,267479906
2.94 nM Daco+20.75 nM Osim,63,NA,NA,275421868.5,208071336,347361362
2.94 nM Daco+20.75 nM Osim,64,NA,NA,357653343.5,270173621,451045106
2.94 nM Daco+20.75 nM Osim,65,NA,NA,464421191,350813770,585654185
2.94 nM Daco+20.75 nM Osim,66,NA,NA,603056422,455546770,760485975
2.94 nM Daco+20.75 nM Osim,67,NA,NA,783105805.5,591605325,987526461
2.94 nM Daco+20.75 nM Osim,69,NA,NA,1320464710,997443160,1665102731
2.94 nM Daco+20.75 nM Osim,70,NA,NA,1714606234.5,1295255350,2162223901
2.94 nM Daco+20.75 nM Osim,71,NA,NA,2226423835.5,1681936983,2807779350
2.94 nM Daco+20.75 nM Osim,72,NA,NA,2891115722.5,2184043374,3646099045
2.94 nM Daco+20.75 nM Osim,73,NA,NA,3754201508,2836158505,4734718024
2.94 nM Daco+20.75 nM Osim,74,NA,NA,4875008614.5,3682903013,6148153905
2.94 nM Daco+20.75 nM Osim,75,NA,NA,6330346117,4782232700,7983694595
2.94 nM Daco+20.75 nM Osim,76,NA,NA,8220232694.5,6209742106,10367292994
2.94 nM Daco+20.75 nM Osim,78,NA,NA,13860765597,10470731117,17481504305
2.94 nM Daco+20.75 nM Osim,79,NA,NA,17998839627,13596506171,22700298822
2.94 nM Daco+20.75 nM Osim,80,NA,NA,23372017770.5,17655609466,29477244949
2.94 nM Daco+20.75 nM Osim,81,NA,NA,30349683490.5,22926518970,38277515811
2.94 nM Daco+20.75 nM Osim,82,NA,NA,39410175133.5,29771033395,49704874137
2.94 nM Daco+20.75 nM Osim,83,NA,NA,51175615895.5,38659036334,64543789169
2.94 nM Daco+20.75 nM Osim,84,NA,NA,66453290307.5,50200650173,83812574025
2.94 nM Daco+20.75 nM Osim,85,NA,NA,86291903137,65187456613,108833852100
