0,999010,990,0
1,865377,995,1
2,750067,968,4
3,649725,983,5
4,562906,965,7
5,487450,930,13
6,422203,916,20
7,365912,889,27
8,317215,899,34
9,274754,920,52
10,238353,951,65
11,206669,1002,93
12,179139,1016,114
13,155234,1024,149
14,134304,1023,195
15,116222,1025,260
16,100374,1008,352
17,86873,1039,455
18,75010,989,531
19,65118,1003,682
20,56401,1038,898
21,48834,1000,1111
22,42373,1000,1437
23,36764,1010,1842
24,31878,1053,2390
25,27575,1078,3077
26,23815,1100,3918
27,20657,1137,5014
28,17911,1130,6422
29,15524,1096,8315
30,13479,1163,10437
31,11670,1162,13284
32,10117,1165,17095
33,8778,1228,21727
34,7610,1248,27569
35,6609,1209,35265
36,5731,1235,45382
37,4985,1284,57852
38,4309,1299,74023
39,3709,1306,94644
40,3242,1295,121827
41,2783,1309,155857
42,2429,1319,199200
43,2148,1306,255232
44,1890,1319,326542
45,1621,1363,418255
46,1435,1410,535780
47,1258,1415,685499
48,1108,1420,878582
49,967,1375,1125228
50,851,1449,1441380
51,747,1487,1844636
52,632,1504,2361329
53,539,1472,3024611
54,471,1519,3875670
55,405,1520,4961804
56,356,1505,6352574
57,301,1469,8131939
58,258,1461,10411212
59,212,1484,13335589
60,186,1558,17075427
61,164,1550,21871494
62,143,1546,27999958
63,111,1532,35854158
64,92,1519,45922165
65,75,1538,58802972
66,62,1529,75286566
67,52,1541,96407241
68,47,1471,123445686
69,36,1431,158093013
70,33,1436,202452258
71,26,1405,259221472
72,24,1404,331946446
73,20,1345,425061733
74,18,1425,544333881
75,15,1419,697032161
