,250,83.33,27.78,9.259,3.086,1.029,0.343,0.114,0.038,0.013,0.004,0
0,1250,2460,2130,2092,2045,2564,4256,8299,11568,12067,12104,13325
0,2078,3190,3124,3187,4297,4380,6578,13017,17802,20456,19960,18113
2.5,2116,2319,3173,3577,3066,3839,5633,9193,10506,10428,11652,11122
2.5,2240,3467,2969,3156,3322,3941,5137,8995,12017,11674,11928,11905
5,0,2690,2849,3172,3474,3903,4773,6916,8059,7935,8741,7481
5,0,3056,3175,3527,3725,3847,4759,6614,7233,7505,7845,7431
10,0,3227,3206,2987,3743,4099,4085,5966,5471,5400,5471,4997
10,0,2565,2400,2738,2875,3357,3754,4179,4035,4290,4437,3729
