,250,83.33,27.78,9.259,3.086,1.029,0.343,0.114,0.038,0.013,0.004,0
0,2627,2428,2268,2191,1713,2434,2413,2754,3269,3338,3323,4465
0,2802,2808,3318,2626,3054,2847,2293,3345,4459,3762,4752,3538
2.5,3484,3320,3013,2641,2772,2517,3311,3641,4020,3373,3856,3792
2.5,2879,2312,2335,2419,2862,2636,2533,2917,2975,2985,2917,3089
5,0,3343,3601,3896,3899,4053,4071,3955,4473,4022,4432,3790
5,0,3985,3602,4033,4235,3861,3523,4095,3720,3072,3817,3022
10,0,4010,2312,3822,4085,4388,1867,3926,2555,2026,3047,2691
10,0,2388,2037,2251,3291,1960,2877,1798,2846,1874,1959,1797
