,250,83.33,27.78,9.259,3.086,1.029,0.343,0.114,0.038,0.013,0.004,0
0,2221,2825,2764,2951,2358,2410,2947,5147,5912,5974,7030,6078
0,2662,2926,3198,3659,3033,2949,3494,5688,7369,7079,8363,6695
2.5,3007,3541,3500,3860,4438,3724,4631,5917,5911,5955,7314,4922
2.5,2732,3265,3650,3970,4082,4510,5465,5393,5805,6472,6107,4829
5,0,3651,3573,3510,3641,4021,4007,3862,4112,4461,4047,4351
5,0,4150,3758,3621,4355,4619,4545,5086,5032,5257,5472,5319
10,0,3785,3642,3040,3689,4259,4316,4325,3814,3755,4653,3342
10,0,3755,3693,3470,3171,3495,3635,4124,3578,4034,4126,2887
