Daco/Osi,1000,333.3,111.1,37.04,12.35,4.115,1.372,0.457,0.152,0.051,0.017,DMSO
0,2748,2826,2835,3238,4698,9138,11897,12301,12311,12705,12681,12960
0,2810,2863,2884,3026,4427,8818,11636,12089,12015,11960,12224,12389
0.25,2629,2838,2729,2979,3443,5750,7861,9609,8759,8804,9218,9589
0.25,2803,2713,2705,2990,3608,6289,8098,9772,9666,9557,10322,10743
0.5,0,2830,2768,2881,3369,3659,4142,4608,4485,4428,4929,4615
0.5,0,2932,2680,2784,3369,3801,4018,4378,4547,4506,4615,4658
1,0,2889,2851,2847,2910,3072,3133,3110,3139,3010,3050,3325
1,0,2692,2750,2806,3013,3097,3131,3102,3027,3115,3076,3011
