Daco/Osi,1000,333.3,111.1,37.04,12.35,4.115,1.372,0.457,0.152,0.051,0.017,DMSO
0,3245,3430,3089,3305,3934,5738,6728,7092,6872,7202,7158,7053
0,3329,3206,3169,3233,3819,5623,6638,6794,6804,7144,7093,7018
0.25,3260,3296,3064,3256,3546,4226,4670,4377,4765,4880,5467,5343
0.25,3221,3242,3144,3136,3531,4246,4697,4939,4721,5125,5136,4716
0.5,0,3134,3152,3257,3321,3355,3467,3591,3470,3481,3474,3493
0.5,0,3107,3350,3335,3345,3487,3387,3536,3358,3293,3296,3515
1,0,3243,3236,3138,3237,3188,3227,3025,3081,2993,3090,3207
1,0,3173,3108,3106,3076,3035,3126,3144,3121,3042,2997,3112
