Daco/Osi,1000,333.3,111.1,37.04,12.35,4.115,1.372,0.457,0.152,0.051,0.017,0
0,2675,3050,3314,3502,4014,4019,4146,3924,4097,3890,3999,4013
0,2794,2864,3237,3620,4030,4199,4041,4184,3933,3996,4094,3995
4,2934,3118,3528,3875,4294,4431,4242,4341,4320,4213,4331,4263
4,3039,3112,3453,4156,4451,4463,4660,4439,4628,4387,4411,4399
10,0,2962,3386,4120,4265,4537,4449,4376,4196,4171,4135,4305
10,0,3029,3225,3898,4201,4416,4250,4137,4222,3800,4125,4010
250,0,3005,3497,4025,4352,4696,4505,4459,4496,4506,4539,4314
250,0,3131,3574,4162,4524,4781,4753,4742,4498,4585,4639,4384
