Daco/Osi,1000,333.3,111.1,37.04,12.35,4.115,1.372,0.457,0.152,0.051,0.017,0
0,1444,1606,2667,5185,8140,8990,8981,8566,8726,8602,9128,8722
0,1515,1623,2884,5155,8097,8928,8840,8713,8586,8455,8960,8583
4,1464,1586,2932,5174,8743,9280,9170,9171,8867,9511,9088,8931
4,1547,1589,2953,5173,8048,9244,9129,9104,8483,8699,8923,8486
10,0,1502,2705,5153,8167,8715,8689,8624,9097,8452,8082,8141
10,0,1462,2648,4943,7811,8837,8395,8526,8472,8754,8379,8227
250,0,1614,3239,5690,7688,8989,8942,9073,8395,9178,8951,8587
250,0,1559,3248,5394,7841,8897,9286,9470,9557,8902,9081,8397
