Osi/Daco,250,83.33,27.78,9.259,3.086,1.029,0.343,0.114,0.038,0.013,0.004,0
0,15732,15300,14689,14974,14645,14869,15197,14523,14949,14400,13972,14013
0,16116,16061,15526,15368,15145,15485,14998,14931,14942,14421,14326,14229
6,15757,16458,15476,15108,15055,15423,15090,15322,15005,14636,14199,14383
6,16287,15859,15613,15616,15630,15501,15317,15524,15332,14917,14936,14197
160,0,16418,16143,16368,16084,16096,15436,15685,15361,15049,14865,14524
160,0,16455,15463,16081,15974,15137,15591,16120,15600,15208,14339,14209
1000,0,15404,15219,16074,15782,15412,14569,14969,14879,14970,14517,14620
1000,0,16737,16084,16685,15537,15119,15293,14690,14622,13525,13670,13870
