Osi/Daco,250,83.33,27.78,9.259,3.086,1.029,0.343,0.114,0.038,0.013,0.004,0
0,11423,11319,10878,11058,11183,11049,11245,11479,11143,10934,11021,11096
0,11363,11240,11285,10995,11448,11431,11774,11644,11968,11257,11343,12112
6,11843,10937,11014,10928,11240,11631,11286,11552,11206,11389,11561,11223
6,11683,11367,11805,11617,11395,12577,12180,12386,11957,11804,12095,12319
160,0,11303,12338,11712,12162,11945,11801,12072,12291,11509,11356,11326
160,0,10930,12171,11929,11847,11827,11987,11960,12038,11658,12184,11725
1000,0,11860,11681,12012,11759,11539,12249,11473,12036,11795,11944,11922
1000,0,12465,12836,11971,12705,12777,12407,11655,11439,11439,12321,12186
