Daco/Osi,1000,333.3,111.1,37.04,12.35,4.115,1.372,0.457,0.152,0.051,0.017,0
0,14556,15680,15205,14966,14694,13813,13503,13196,13021,11949,12072,12750
0,14526,14424,14739,14359,13864,13296,12900,12445,12101,11275,11515,11563
4,14642,14916,14500,14423,13864,12887,12513,12721,12390,11983,12129,11454
4,14601,14312,14017,14317,14590,13170,12593,12659,11645,10948,11871,11211
10,0,14061,14176,14047,13885,12573,12361,12879,12108,11633,11297,11377
10,0,13824,14362,14312,13640,13564,12076,12538,11898,11571,11983,11296
250,0,13698,13560,13538,13049,13571,12936,12732,12543,11965,11685,11121
250,0,14191,13810,13503,13377,13466,13174,12528,12447,11506,11904,11238
