Osi/Daco,250,83.33,27.78,9.259,3.086,1.029,0.343,0.114,0.038,0.013,0.004,DMSO
0,3352,3248,3036,3001,3074,3207,5369,6288,6141,6307,6494,6756
0,3277,3187,3035,3080,2948,3285,4664,6064,6427,6123,6450,6842
2.5,3319,3111,2912,2859,2959,3162,3973,5085,5313,5515,5723,5592
2.5,3122,3304,3098,3084,2905,3034,4169,5164,5676,5331,5528,5603
5,0,3218,3110,3171,3010,2929,3777,4374,4324,4277,4388,4320
5,0,3320,3277,3133,2992,3219,3553,4282,4232,4098,4503,4312
10,0,3343,3285,3105,3257,3309,3432,3671,3411,3478,3656,3583
10,0,3280,3331,3025,3120,3261,3680,3678,3631,3556,3686,3713
