Osi/Daco,250,83.33,27.78,9.259,3.086,1.029,0.343,0.114,0.038,0.013,0.004,DMSO
0,3263,3268,3074,2985,2830,3029,3018,3776,3738,3726,3765,3701
0,3253,3108,3116,3092,3073,2982,3123,3752,3788,3866,3839,3831
2.5,3020,3170,3145,3223,3060,3194,3120,3373,3660,3484,3690,3528
2.5,3129,3351,3191,3248,3259,3329,3193,3319,3757,3689,3811,3549
5,0,2887,2992,3085,3000,2950,3061,3100,3136,3112,3110,3197
5,0,2801,3076,2905,3027,3094,2992,3223,3149,3202,3127,2944
10,0,3057,3312,2980,3057,3014,3260,3171,3034,3195,3172,3065
10,0,3044,3059,3082,3251,3199,3014,3109,3082,3114,2990,3010
