,1000,333.3,111.1,37.04,12.35,4.115,1.372,0.457,0.152,0.051,0.017,0
0,3381,4431,4018,4374,5526,8063,9925,10561,10247,9675,9790,8883
0,4823,5099,5499,6443,7299,11095,11420,11511,12228,12183,13092,10564
4,4628,5220,5096,5990,6621,10461,10796,12331,11618,11523,11277,9938
4,5202,5335,6096,6074,6338,9916,11316,10296,10578,11339,10087,7871
10,0,6149,6254,6760,7457,11382,11464,13083,12277,15107,15362,9982
10,0,6837,6681,6494,8497,11386,16072,15437,13444,12399,12130,11193
250,0,6180,6091,7509,7600,8507,8458,8402,7825,9012,8383,7427
250,0,5749,6105,7049,7575,8636,9012,8798,8288,8800,8241,7549
