,1000,333.3,111.1,37.04,12.35,4.115,1.372,0.457,0.152,0.051,0.017,0
0,1215,2359,3177,2403,2907,5532,6790,7524,9240,11111,14611,11316
0,1884,2395,2751,2295,3020,6926,10281,13834,13969,14428,13454,11266
0.25,1472,2511,2603,2585,3487,4656,5143,5473,6739,6508,5862,5434
0.25,1753,2388,2905,3282,3518,5213,5492,6838,5834,6536,5409,4440
0.5,0,2544,2924,2812,3486,3675,3994,4105,3166,4547,4108,3511
0.5,0,2183,2479,2963,3342,3593,4056,4134,3627,3653,4006,3007
1,0,2339,2324,2644,2636,2888,2859,2917,2809,2686,2684,2798
1,0,2176,2024,2570,2361,2247,2233,2521,2022,2568,2637,2706
