,250,83.33,27.78,9.259,3.086,1.029,0.343,0.114,0.038,0.013,0.004,0
0,2551,3517,3671,3940,4595,5051,5161,5247,5367,5093,4845,5055
0,3613,3415,4510,4909,5872,5394,6221,6664,6145,6133,6486,4845
6,3793,4412,4115,4706,5653,7261,6458,6827,6262,6159,6266,4607
6,3070,3900,4803,5597,6708,8146,7380,7688,7853,7626,7860,6118
160,0,4084,4770,4962,7128,7731,7959,7808,7518,6958,7285,6162
160,0,4717,6802,5483,6344,7282,7809,6994,7066,7173,6558,6009
1000,0,5587,6325,6437,6331,6459,7383,8155,6853,7585,6774,6764
1000,0,5016,5639,6141,7104,7555,6963,7787,7638,7900,7831,6617
