,250,83.33,27.78,9.259,3.086,1.029,0.343,0.114,0.038,0.013,0.004,0
0,1995,2413,3027,4377,5537,6892,6646,6441,7230,6920,7303,6830
0,3005,3435,3665,5346,6944,8501,8482,9002,7868,8481,8409,6416
6,2586,3551,3806,5923,7217,8137,8401,8253,8232,7743,8002,6356
6,2940,3979,4047,6161,8599,10599,10179,10115,10217,10238,10468,9044
160,0,4045,4207,5729,7317,8041,8551,8820,9094,7708,8674,6929
160,0,4489,5364,8291,10666,11452,11594,10544,10856,10566,10264,8355
1000,0,4619,4959,4631,8350,9583,9973,9194,9448,8896,8869,7019
1000,0,5372,4822,6774,9448,6255,10417,10327,8450,8667,8185,9016
