Daco/Osi,1000,333.3,111.1,37.04,12.35,4.115,1.372,0.457,0.152,0.051,0.017,0
0,10060,11017,10924,11160,11068,11279,11488,11513,10535,10756,10857,10612
0,11155,11172,11061,11566,11469,11387,11099,11341,11496,11112,10841,10946
4,10477,11300,10831,11516,11125,11301,11162,11238,11154,10614,11463,11089
4,10407,11393,11517,11602,11506,11911,11362,11375,11607,11007,11054,10893
10,0,11739,11568,11853,11503,11301,11723,11743,11804,11620,11934,10877
10,0,11408,11581,11691,12130,11991,12259,11764,12125,11611,11712,11435
250,0,11084,11941,11394,11461,11648,11515,11602,11529,11298,11316,10675
250,0,11377,12065,12009,11816,12102,12293,11657,12171,10777,11467,10783
