,250,83.33,27.78,9.259,3.086,1.029,0.343,0.114,0.038,0.013,0.004,0
0,4190,6671,8095,8303,8011,8354,8823,7455,9394,10585,10980,9515
0,6255,9318,10674,12365,11102,12321,11724,10554,13044,12254,12424,12064
6,6003,8349,8531,8950,8498,9413,9324,9634,11156,10456,10150,9264
6,6730,9146,9797,10265,10507,9680,10116,9165,10550,9609,10488,9462
160,0,6475,6548,6953,6336,6585,6234,6625,6484,7027,5838,5768
160,0,6951,6994,6305,7118,6975,7000,6088,6509,6814,6287,5869
1000,0,6338,5929,5899,6988,7003,7100,7626,6809,6524,7084,6303
1000,0,5257,5601,5409,4990,5405,5737,6623,5625,5844,5807,4870
