,250,83.33,27.78,9.259,3.086,1.029,0.343,0.114,0.038,0.013,0.004,0
0,8017,10454,11834,17568,15269,18521,18402,16304,18124,18458,15843,17337
0,9430,12307,13630,18949,16585,18625,20120,18626,21357,18566,19946,15172
6,5482,9216,7481,10225,9722,8813,10206,11244,10389,11144,9747,9135
6,5544,9257,10126,10551,12410,7952,13370,15939,16552,14111,13618,10882
160,0,4574,4804,4700,4670,5479,4597,4848,5041,4195,4058,4985
160,0,3944,4724,4126,4721,4324,4653,4421,4140,5330,3795,3998
1000,0,4847,4611,5109,5067,4963,4918,5007,4796,4732,4639,4473
1000,0,4680,5212,4027,5728,4767,5270,5640,5784,4435,4442,5143
